object	short_title	what_it_does	audible_or_output_result	key_controls	window_height
abl.dsp.quartz~	Quartz reverb	Creates a dense algorithmic reverb with diffusion, modulation, damping and distance controls.	Ranges from sparse reflective ambience to smooth dense tails; modulation adds movement and damping progressively darkens the space.	Mix, Mod Depth, Decay, Size, Damping, Diffusion	505
abl.dsp.meldfilter~	Meta-filter	Provides multiple filter/resonator algorithms from Live Meld behind a common frequency plus two macro controls.	Can move from conventional EQ/filtering to phasing, vowel filtering, comb filtering and physical resonances depending on Type.	Frequency, Macro 1, Macro 2, Type	505
abl.dsp.harmonicfm~	Harmonic FM oscillator	Generates FM tones while morphing through a set of harmonic and subharmonic modulator ratios.	Creates spectrally organized FM timbres that shift between subharmonic, harmonic and brighter sideband structures.	Frequency, Ratio, Amount	505
abl.dsp.flanger~	Stereo flanger	Mixes the input with very short modulated delays and feedback, producing moving comb-filter interference.	Creates sweeping notches, metallic motion and jet-like coloration; feedback intensifies the comb resonance.	Mix, Feedback, Time, Warmth	505
abl.dsp.fmbass~	Three-operator FM oscillator	Generates a three-operator FM tone with two modulators feeding one carrier.	Designed for focused FM bass/squelch sounds; modulation index and feedback move from clean fundamentals toward complex metallic spectra.	Frequency, Feedback, Index	505
abl.device.utility~	Stereo utility processor	Performs gain, balance, phase, channel, mid/side, mono and bass-mono operations on a stereo signal.	Changes level and stereo geometry without adding an intentional effect tail; useful for image control, phase correction and low-end mono compatibility.	Gain, Balance, Channel Mode, Invert L, Invert R, Mono	505
abl.dsp.dfm~	Modeled analog lowpass filter	Passes the input through a resonant digitally modeled analog low-pass filter with controllable pre-gain.	Removes high frequencies while emphasizing the cutoff region; increased pre-gain drives the model for stronger nonlinear color.	Frequency, Resonance, Pre-gain	505
abl.dsp.pulsate~	Random pulse emitter	Generates pulses probabilistically at a controllable rate and duration rather than processing incoming audio.	Creates irregular gates/triggers for modulation; Chance controls event probability and Length controls pulse duration.	Frequency, Chance, Length, Transform 2, Transform 1, Transform 2 Type	505
abl.dsp.chorus~	Stereo chorus	Mixes the input with short, slowly modulated delay voices to create small pitch/time differences between copies of the signal.	Thickens and widens the source; deeper modulation and feedback increase pitch motion and metallic/comb coloration.	Mix, Gain, Feedback, Rate, Mod Depth, Width	505
abl.dsp.expshaper~	Exponential signal shaper	Applies an exponential response curve to a signal, remapping its amplitude trajectory rather than adding delay or resonance.	Changes the curvature and sensitivity of a control/audio signal, emphasizing one part of its range while compressing another.	Signal Input	505
abl.dsp.doubler~	Stereo doubler	Creates short modulated delayed copies of the input and spreads them in stereo.	Makes a single source sound wider and more layered, with detuned/animated doubling rather than clearly separated echoes.	Mix, Feedback, Mod Depth, Time	505
abl.dsp.vowel~	Vowel bandpass filter	Filters audio through a bank of resonant bands tuned to formant patterns associated with the vowels A, E, I, O and U.	Imposes vocal/formant coloration on the source; Morph moves between vowel spectra and Resonance exaggerates the formant peaks.	Frequency, Resonance, Morph	505
abl.device.reverb~	Plate reverb	Generates a plate-like reverberant field, creating pseudo-stereo ambience from the input.	Adds a diffuse tail and sense of space; predelay separates the source from the tail while damping darkens the decay.	Mix, Decay, Damping, Predelay	505
abl.dsp.bitgrunge~	Bit-grunge oscillator	Generates a pseudo-random lo-fi square-wave tone reminiscent of data or old-computer tape loading.	Produces unstable, stepped, digital timbres with intentionally coarse and noisy harmonic structure.	Frequency, Depth	505
abl.dsp.squarefifth~	Morphing square-wave oscillator	Generates a square wave that morphs toward a second square wave pitched a perfect fifth above.	Blends fundamental and fifth-related energy while pulse width changes the harmonic balance.	Frequency, Width, Amount	505
abl.dsp.ramp~	Ramp generator	Generates repeating ramp-shaped modulation rather than processing audio.	Produces cyclic rising/falling control motion; Shape/Slope alter the contour and optional transforms reshape the output further.	Frequency, Shape, Slope, Transform 2, Transform 1, Transform 2 Type	505
abl.dsp.basicshapes~	Basic shape oscillator	Generates a periodic tone that continuously morphs among sine, triangle, saw and pulse waveforms.	Changes harmonic content as Shape moves through the waveform family; the waveform-specific effect adds folding, phase offset or pulse-width variation.	Frequency, Shape	505
abl.dsp.bubble~	Bubble generator	Synthesizes discrete resonant bubble-like events as an audio source rather than processing an input signal.	Produces watery, popping tones whose event rate and randomness can move from sparse droplets to dense bubbling textures.	Frequency, Rate, Randomness	505
abl.dsp.phaser~	Stereo phaser	Passes the input through modulated all-pass stages that create moving spectral notches without using audible delay repeats.	Produces swirling phase cancellation and resonant sweeps; center/spread place the notch field and feedback strengthens the effect.	Mix, Feedback, Mod Depth, Center Frequency, Spread, Blend	505
abl.dsp.noisyshapes~	Noisy dual basic-shape oscillator	Combines dual classic waveform oscillators with noise bursts, distortion and a sub-oscillator.	Morphs from recognizable synth waves into rough, noisy and thicker composite timbres as the Rough amount increases.	Frequency, Shape, Rough	505
abl.dsp.simplefm~	Two-operator FM oscillator	Generates a carrier oscillator frequency-modulated by a second oscillator.	Moves from a simple tone to complex sideband spectra as FM amount rises; Ratio controls harmonic versus inharmonic relationships.	Frequency, Ratio, Amount	505
abl.dsp.filterednoise~	Filtered noise generator	Generates noise through a resonant band-pass filter.	Creates pitched or airy noise bands; narrowing the bandwidth increases resonance and turns broadband noise into a more focused tone.	Frequency, Offset, Narrowness	505
abl.dsp.crackle~	Crackle sound generator	Generates randomly timed filtered transients as an audio source.	Produces crackling, popping textures whose density and intensity range from sparse surface noise to busy granular activity.	Frequency, Density, Intensity	505
abl.dsp.rain~	Rain sound generator	Synthesizes a mixture of raindrop-like resonant events and wind/noise as an audio source.	Moves from sparse droplets to dense rainfall; resonance makes individual drops more pitched and ringing.	Frequency, Resonance, Density	505
abl.dsp.compander~	A-law compressor / expander	Applies nonlinear A-law companding to compress or expand the signal amplitude.	Changes low-level versus high-level detail and can create a distinctly encoded, nonlinear dynamic coloration at stronger settings.	Shape, Mode	505
abl.device.redux~	Downsampling and bit-reduction effect	Reduces temporal and amplitude resolution by lowering effective sample rate and bit depth, with optional jitter and shaping.	Introduces quantization grain, aliasing, digital edge and intentionally lo-fi texture.	Rate, Shape, Bit Depth, Jitter	505
abl.dsp.ensemble~	Stereo ensemble	Builds multiple modulated delay voices around the input, with feedback, width and warmth processing.	Creates a denser, wider chorus-like field than a simple chorus; warmth adds filtering/distortion and feedback increases resonance.	Mix, Gain, Feedback, Rate, Mod Depth, Width	505
abl.dsp.squaresync~	Dual square-wave oscillator	Generates two synchronized square-wave components around a common fundamental.	Produces hard-edged pulse spectra with additional interval/beat structure from the two square-wave frequencies.	Frequency, First, Second	505
abl.dsp.extratone~	Granular-style kick-tone oscillator	Retriggers a synthesized kick at the oscillator rate to create a continuous pitched tone.	Produces aggressive granular/buzzing bass timbres whose base pitch and envelope amount alter the kick-derived texture.	Frequency, Pitch, Envelope Amount	505
abl.dsp.noiseloop~	Noise-buffer looper	Loops short windows of noise at audio rates to turn noise into a pitched granular-style oscillator.	Creates rough tonal spectra; Rate changes how noise windows are replaced and Fade smooths transitions between them.	Frequency, Rate, Fade	505
abl.dsp.waveshaper~	Waveshaper	Applies a configurable nonlinear transfer curve to incoming audio, with drive, curve, damping, ripples and post-clipping control.	Adds controllable harmonic distortion from subtle saturation to complex folded/rippled spectra; the transfer-function controls define the nonlinear color.	Mix, Drive, Gain, Damping, Curve, Depth	505
abl.dsp.transform~	Signal transformer	Remaps an incoming control/audio signal using selectable operations such as offset, scaling, gating, skew, rectification, quantization or sample-and-hold.	Changes the shape and range of a signal rather than its spectral content; Type selects the transformation and Macro controls its amount/behavior.	Frequency, Macro, Type	505
abl.dsp.chip~	Square-wave chiptune oscillator	Generates an 8-bit-style square-wave tone with pulse-width and pitch-pattern modulation.	Produces bright game-console timbres, pulse-width color and simple arpeggiated/pitched motion.	Frequency, Mod Depth, Pulse Width	505
abl.device.drumbuss~	Analog-style drum processor	Combines saturation, compression, transient shaping and a tunable low-frequency resonant “boom” stage for drum material.	Adds density and glue, sharpens or softens attacks, introduces harmonic grit and can reinforce the low end with a decaying resonance.	Mix, Drive, Decay, Damping, Boom, Boom Frequency	505
abl.dsp.filther~	Distorted lowpass filter	Applies hard input clipping, resonant low-pass filtering and soft output saturation in a single nonlinear filter path.	Combines cutoff/resonance shaping with added harmonics, so increasing Drive makes the filter progressively dirtier and more aggressive.	Frequency, Resonance, Drive	505
abl.device.spectralresonator~	Spectral resonator	Analyzes the input spectrum and reinforces pitched spectral resonances and overtone structures around a chosen fundamental.	Turns noisy or complex material into ringing, tuned and chord-like textures whose decay and harmonic spacing can be shaped.	Mix, Frequency, Decay, Voices, Unison, Harmonics	505
abl.dsp.euclid~	Euclidean rhythm ramp generator	Generates decreasing ramps whose onsets are distributed with a Euclidean rhythm algorithm.	Produces evenly distributed rhythmic modulation patterns; Steps and Pulses determine the density and spacing of events.	Frequency, Steps, Pulses, Transform 2, Transform 1, Transform 2 Type	505
abl.device.spectraltime~	Spectral freeze and delay	Freezes and delays spectral frames, then shifts, sprays and feeds them back independently of the original time-domain signal.	Produces suspended spectra, smeared echoes, frozen timbres and pitch-shifted spectral clouds.	Mix, Feedback, Freeze, Spread, Fade In, Crossfade Pct	505
abl.dsp.shepard~	Shepard-tone oscillator	Generates layered octave components that continuously rise or fall while maintaining the illusion of an endlessly moving pitch.	Creates perpetual ascent/descent gestures; Rate controls direction/speed and Width controls the octave span.	Frequency, Rate, Width	505
abl.dsp.velvetnoise~	Velvet-noise generator	Generates sparse random impulses distributed in time as an audio source.	Produces impulse textures from isolated clicks to dense noise-like excitation; Spacing controls how far apart the impulses occur.	Frequency, Spacing	505
abl.dsp.vibrato~	Stereo vibrato	Applies continuously modulated short delay to vary the apparent pitch of the incoming signal.	Creates periodic pitch wobble without a dry copy; Rate and Mod set speed/depth while shaping and offset alter the modulation contour/stereo relation.	Gain, Rate, Mod Depth, Offset, Shaping	505
abl.dsp.transientdesign~	Transient designer	Uses a reference/envelope relationship to reshape the attack and sustain portions of an audio signal.	Can emphasize or soften onset impact and alter the apparent sustain/body without conventional threshold-based compression.	Attack, Sustain	505
abl.dsp.fuzz~	Fuzz guitar pedal	Applies heavy fuzz-style nonlinear clipping with bass, mid and treble tone shaping.	Produces dense, compressed harmonic distortion with a rougher edge than overdrive; EQ controls shape the resulting fuzz spectrum.	Mix, Gain, Sub, Mid Frequency, Mid, Bass	505
abl.device.autofilter~	Modulated multimode filter	Filters incoming audio with resonant filter models that can be animated by envelope, LFO and sidechain-derived modulation.	Creates moving spectral emphasis, sweeps and resonant coloration that can follow the dynamics of the source.	Frequency, Filter Type, Resonance, Drive, Envelope Amount, Internalscgain	505
abl.device.echo~	Modulation delay	Runs the signal through two flexible delay lines with feedback plus filter, envelope, modulation, noise and character controls.	Produces stereo or ping-pong echoes ranging from clean repeats to tape-like pitch movement, diffusion, wobble and degraded feedback textures.	Mix, Delay Time, Feedback, Repitch Smoothing Time, Mod Delay, Mod Envelope	505
abl.device.drumsampler~	Drum sampler	A monophonic sample-playback instrument with pitch, envelopes, filtering, modulation, noise/sub layers and internal effects.	Transforms a loaded sample into a playable drum voice, from clean one-shots to heavily reshaped, layered and modulated percussion.	Filter Type, Cutoff, Gain, Attack, Decay, Length	505
abl.device.roar~	Three-stage saturator	Routes audio through up to three saturation/shaping stages with filtering, feedback, compression and flexible modulation.	Adds harmonics, clipping, density and animated nonlinear color, ranging from subtle warmth to aggressive multi-stage distortion.	Blend, Input Gain, Routing, Tone Amount, Tone Frequency, Shaper Amount 1	505
abl.dsp.distortion~	Guitar-pedal distortion	Applies pedal-style nonlinear distortion followed by bass, mid and treble tone shaping.	Adds clipped harmonics and sustain; the tone controls redistribute the distorted energy across the spectrum.	Mix, Gain, Sub, Mid Frequency, Mid, Bass	505
abl.dsp.alternate~	Alternating modulator	Generates a control-rate/audio-rate signal that alternates between two levels rather than processing audio.	Useful as a repeating two-state modulation source; its transitions can be further transformed before controlling another parameter.	Frequency, Level 1, Level 2, Transform 2, Transform 1, Transform 2 Type	505
abl.dsp.foldfm~	Wavefolding FM oscillator	Combines frequency modulation, waveshaping and wavefolding in a single oscillator.	Produces harmonically rich tones that can move from relatively pure FM to dense folded, buzzy spectra.	Frequency, Mod Depth, Shape	505
abl.dsp.overdrive~	Overdriven guitar pedal	Applies overdrive-style nonlinear distortion followed by bass, mid and treble tone shaping.	Adds harmonics and level-dependent grit while retaining more source contour than hard fuzz; tone controls sculpt the distorted spectrum.	Mix, Gain, Sub, Mid Frequency, Mid, Bass	505
abl.dsp.saturator~	Waveshaping saturator	Applies selectable waveshaping/clipping curves with input drive, output gain and optional post clipping.	Adds harmonics, density and controlled clipping; curve choice determines whether the result is soft, hard, folded or digitally clipped.	Mix, Drive, Gain, Curve, DC Block, Post Clip	505
abl.dsp.modalresonator~	Modal resonator	Excites a bank of resonant modes modeled as a plate or membrane, imposing pitched resonances on the input.	Turns impulses, noise and other signals into ringing physical-model tones; frequency, decay, damping and geometry control the resonance.	Frequency, Ratio, Decay, Damping, Resonator Type	505
abl.dsp.pitchestimator~	Frequency detector	Analyzes an incoming audio signal and estimates its fundamental frequency.	Outputs pitch/frequency information for tracking or control; it is an analyzer and does not intentionally alter the source audio.	Audio Input	505
abl.dsp.tides~	Modulating algorithmic reverb	Creates an algorithmic reverb whose tail is continuously modulated by morphable stereo waveforms.	Adds animated, chorused movement to the space; Tides and waveform/rate controls can make the decay gently breathe or strongly undulate.	Mix, Rate, Decay, Size, Damping, Freeze	505
abl.dsp.modulator~	Shape-morphing modulator	Generates a modulation signal whose waveform can morph and fold, with optional post-transform stages.	Provides cyclic control motion rather than an audio effect; Shape/Fold define the contour and FX transforms remap the resulting modulation.	Frequency, Shape, Fold, Transform 2, Transform 1, Transform 2 Type	505
abl.dsp.stereolfo~	Stereo low-frequency oscillator	Generates paired left/right LFO signals with controllable phase, duty, waveform and independent spin behavior.	Creates stereo modulation trajectories; phase offsets move channels apart while Spin lets their rates diverge.	Frequency, Waveform, Phase, Stereo Phase, Spin, Duty	505
abl.dsp.tarp~	Kick / bass oscillator	Generates an 808-style kick/bass voice with a decaying pitch sweep and controllable tonal aggression.	Produces low, punchy synthesized bass drums or sustained bass tones; Decay shapes the pitch fall and Tone increases resonance/drive/noise character.	Frequency, Decay, Tone	505
abl.dsp.subosc~	Oscillator with sub bass	Generates a shaped main oscillator plus an auxiliary oscillator one octave below.	Adds low-frequency weight beneath the main tone; Tone reshapes the main waveform and Aux controls the octave-down component.	Frequency, Tone, Sub Amount	505
abl.dsp.meldosc~	Meta-oscillator	Provides the oscillator family used in Live Meld behind a common frequency plus two context-sensitive macro controls.	Selects among classic, FM, noise, chiptune, swarm, rain, Shepard and other oscillator models while the macros reshape each model.	Macro 1, Macro 2, Type	505
abl.dsp.envfollower~	Envelope follower	Measures the amplitude contour of an incoming signal and outputs a smoothed control signal rather than an audio effect.	Turns loudness changes into modulation data; attack and release determine how quickly the output follows rising and falling energy.	Attack, Release	505
abl.dsp.dualbasicshapes~	Dual basic-shape oscillator	Generates two basic-shape oscillators and blends/detunes them as a single sound source.	Produces thicker classic waveforms; detuning introduces beating and width while Shape changes harmonic profile.	Frequency, Shape, Detune	505
